num dim cls speedup
1 128 WhiteNoise 2.4529233710371194
2 128 GRFrough 2.242392581951156
3 128 GRFmoderate 2.478949684611999
4 128 GRFsmooth 2.59209717097171
5 128 LogGRF 1.6644844517184942
6 128 LogitGRF 3.308987926665673
7 128 CauchyDensity 2.0505462253383335
8 128 Shapes 5.599140247178936
9 128 ClassicImages 2.4427832087406554
10 128 MicroscopyImages 2.8336497389653537
