num dim cls speedup
1 64 WhiteNoise 3.123456790123457
2 64 GRFrough 2.7653910149750414
3 64 GRFmoderate 2.8398576512455516
4 64 GRFsmooth 3.0353817504655494
5 64 LogGRF 3.0411985018726595
6 64 LogitGRF 3.21978021978022
7 64 CauchyDensity 2.9505154639175255
8 64 Shapes 4.379014989293362
9 64 ClassicImages 2.9430604982206403
10 64 MicroscopyImages 3.8155844155844156
