num dim cls tms sol
1 32 WhiteNoise 17.7 MultiScaleOT
2 32 GRFrough 19.8 MultiScaleOT
3 32 GRFmoderate 19.5 MultiScaleOT
4 32 GRFsmooth 19.3 MultiScaleOT
5 32 LogGRF 20.3 MultiScaleOT
6 32 LogitGRF 20.5 MultiScaleOT
7 32 CauchyDensity 18.5 MultiScaleOT
8 32 Shapes 20.5 MultiScaleOT
9 32 ClassicImages 19.1 MultiScaleOT
10 32 MicroscopyImages 19.4 MultiScaleOT
