num dim cls tms sol
1 64 WhiteNoise 151.8 MultiScaleOT
2 64 GRFrough 166.2 MultiScaleOT
3 64 GRFmoderate 159.6 MultiScaleOT
4 64 GRFsmooth 163.0 MultiScaleOT
5 64 LogGRF 162.4 MultiScaleOT
6 64 LogitGRF 175.8 MultiScaleOT
7 64 CauchyDensity 143.1 MultiScaleOT
8 64 Shapes 204.5 MultiScaleOT
9 64 ClassicImages 165.4 MultiScaleOT
10 64 MicroscopyImages 146.9 MultiScaleOT
