num dim cls tms sol
1 128 WhiteNoise 1539.7 MultiScaleOT
2 128 GRFrough 1717.0 MultiScaleOT
3 128 GRFmoderate 1689.9 MultiScaleOT
4 128 GRFsmooth 1685.9 MultiScaleOT
5 128 LogGRF 1017.0 MultiScaleOT
6 128 LogitGRF 2220.0 MultiScaleOT
7 128 CauchyDensity 1257.6 MultiScaleOT
8 128 Shapes 3126.0 MultiScaleOT
9 128 ClassicImages 1699.2 MultiScaleOT
10 128 MicroscopyImages 1194.1 MultiScaleOT
