num dim cls tms sol
1 128 WhiteNoise 627.7 GridOT
2 128 GRFrough 765.7 GridOT
3 128 GRFmoderate 681.7 GridOT
4 128 GRFsmooth 650.4 GridOT
5 128 LogGRF 611.0 GridOT
6 128 LogitGRF 670.9 GridOT
7 128 CauchyDensity 613.3 GridOT
8 128 Shapes 558.3 GridOT
9 128 ClassicImages 695.6 GridOT
10 128 MicroscopyImages 421.4 GridOT
